,price
9678,0.016825260309686414
16544,0.11420970590779979
4460,0.07442802379363732
7793,0.07178273523990315
4523,0.06604067163676251
4670,0.25881730247946244
5817,0.5291318788739954
1754,0.05136800848641505
11481,0.022057902829151505
6938,0.8023967744170964
16326,0.8596456088539909
2371,0.0462447800352605
16783,0.4271313787417325
3410,0.6797316033177393
642,0.1873588879073381
4831,0.07833934265455388
4854,0.6719264473856381
5942,0.6426499549086884
3489,0.042483183219076126
12484,0.17504472417042177
8914,0.21639771041192596
12884,0.6792335914794759
7938,0.3913014570584655
12691,0.08441832524128601
7870,0.5409295035721967
13079,0.1271131141970469
12731,0.10589048475741578
12967,0.2857673406079258
15650,0.3305531827346437
16837,0.5480053545313008
2605,0.06409821105986863
6585,0.903097144055294
12093,0.1290116027331089
5989,0.07090095822577451
11536,0.08850271269258751
8298,0.08818145910141571
8231,0.2893181189402984
5361,0.3737880292228582
17153,0.5468820077765604
15206,0.03483417736283882
13317,0.3434530034173762
2852,0.10673972984322602
15535,0.5020804468707942
7765,0.04373763202365447
785,0.20258267447909548
13829,0.5091369732257892
10833,0.06630889014559657
1227,0.23197207997243693
11029,0.09254880998289101
7085,0.7996043673046471
5560,0.127203327083434
8701,0.04880852926132804
5233,0.25445617962791445
10609,0.07196161143830816
16819,0.9563274978330794
11648,0.05906783269689368
9948,0.18385932360206153
11806,0.09870964637104485
5544,0.17875890159096708
6377,0.5239572236056798
4110,0.12484884908036781
15024,0.07447203332725043
12161,0.3523558905713749
6950,0.20516873943453115
11486,0.991541052982127
14413,0.16585266796621045
14066,0.020279592339640447
10840,0.09662982190362697
16428,0.052839874322085464
2395,0.07794937874308402
2297,0.9956100950862836
9040,0.972449804066183
9399,0.4925025144523284
5594,0.09078813841970848
8500,0.1783544209540225
4220,0.30606198672901935
10072,0.23417036591471113
1519,0.26710193457697856
146,0.029370994646900874
11160,0.06260189117212654
14262,0.034570627451807064
3936,0.05194667127194903
4809,0.27024860155764324
10853,0.4321968639499459
11858,0.6488653882431689
13055,0.9783960100266067
776,0.31168825456416843
4452,0.03551916077409638
16095,0.7210783311527909
5424,0.17495955372352856
7339,0.6938200978715954
12626,0.5046781195173806
13380,0.04916746837983498
1975,0.058541228626458
9353,0.08409792881085858
1931,0.25172213534790056
6140,0.5091298203014614
10221,0.05917887567861524
2581,0.17400366247794263
1773,0.9182999325402673
7645,0.12524792783850147
13924,0.38520426879327596
16835,0.4750402353458545
12445,0.7438910095851529
1929,0.1631694008042422
6690,0.020675090900623878
10671,0.09741741943509517
3585,0.060137656080200545
15105,0.1554784713804375
2153,0.9276678129160055
4179,0.12495804532883834
9138,0.23666619699165742
14453,0.0844792609651389
15568,0.7056502057730203
4428,0.2939598690681097
15974,0.2761126575391439
12419,0.23652268959087633
13038,0.08743931735919626
11602,0.08970945234709511
