,host_listings_count,accommodates,bedrooms,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost_t,room_type_Private room,room_type_Shared room
13325,0.026044416169401063,0.0030640489611060075,0.0015320244805530037,0.0015320244805530037,0.8617637703110645,0.015320244805530037,0.005362085681935513,0.0,0.0,0.0
16010,0.030384858272366526,0.006752190727192561,0.0033760953635962807,0.025320715226972105,0.9495268210114539,0.06245776422653119,0.0016880476817981403,0.0,0.0,0.0
10721,0.0017044330257053298,0.0034088660514106596,0.0017044330257053298,0.025566495385579948,0.9587435769592481,0.07584726964388717,0.0008522165128526649,0.0,0.0,0.0
8054,0.002297021783333298,0.004594043566666596,0.002297021783333298,0.20673196049999684,0.824630820216654,0.4111668992166604,0.0,0.0,0.0,0.0
1761,0.0008347564309263015,0.005008538585557809,0.001669512861852603,0.025042692927789042,0.9391009847920891,0.22037569776454358,0.11018784888227179,0.0008347564309263015,0.0,0.0
6870,0.007347857059056734,0.014695714118113467,0.00881742847086808,0.22043571177170201,0.661307135315106,0.0,0.3086099964803828,0.007347857059056734,0.0,0.0
6181,0.0008688849192343607,0.0008688849192343607,0.0008688849192343607,0.02606654757703082,0.9774955341386559,0.19897464650466862,0.0008688849192343607,0.0,0.0008688849192343607,0.0
14002,0.0035555892837018615,0.014222357134807446,0.007111178567403723,0.007111178567403723,0.02488912498591303,0.5546719282574903,0.05333383925552792,0.0035555892837018615,0.0,0.0
2447,0.0008465678797359904,0.0025397036392079716,0.0008465678797359904,0.0008465678797359904,0.9523888647029893,0.1879380693013899,0.20910226629478965,0.0008465678797359904,0.0,0.0
15314,0.004243740087219044,0.016974960348876175,0.008487480174438088,0.1273122026165713,0.4243740087219044,0.6026110923851042,0.004243740087219044,0.004243740087219044,0.0,0.0
11595,0.5282760630222849,0.011610462923566702,0.005805231461783351,0.17996217531528388,0.5224708315605016,0.32509296185986764,0.034831388770700106,0.0,0.0,0.0
10980,0.0,0.0033392105419727588,0.002504407906479569,0.002504407906479569,0.9391529649298384,0.012522039532397845,0.036731315961700345,0.0008348026354931897,0.0,0.0
14935,0.0,0.001736771062902089,0.0008683855314510445,0.026051565943531335,0.9769337228824251,0.156309395661188,0.003473542125804178,0.0,0.0,0.0
4529,0.0017725102742035918,0.0017725102742035918,0.0008862551371017959,0.026587654113053878,0.9970370292395204,0.0,0.006203785959712571,0.0,0.0,0.0
12698,0.054020387708899435,0.009821888674345351,0.004910944337172676,0.1473283301151803,0.9821888674345352,0.0,0.004910944337172676,0.0,0.0,0.004910944337172676
6452,0.005906272833793699,0.017718818501381097,0.011812545667587398,0.09154722892380233,0.10335977459138973,0.0,0.0,0.0029531364168968494,0.0,0.0
2469,0.08818562325572407,0.006452606579687128,0.002150868859895709,0.06452606579687127,0.7850671338619338,0.5269628706744488,0.04946998377760131,0.0,0.0,0.0
6704,0.000882615343098202,0.001765230686196404,0.000882615343098202,0.026478460292946062,0.9929422609854772,0.0,0.11032691788727525,0.0,0.0,0.0
9575,0.010551051668072086,0.0017585086113453478,0.0012309560279417434,0.0008792543056726739,0.9891610938817581,0.023739866253162194,0.00439627152836337,0.0008792543056726739,0.0,0.0
17102,0.07392467666732985,0.0025201594318407902,0.0008400531439469301,0.025201594318407905,0.9450597869402964,0.29905891924510714,0.0008400531439469301,0.0008400531439469301,0.0008400531439469301,0.0
9995,0.0,0.010115496234379661,0.006743664156253108,0.10115496234379662,0.30346488703138985,0.09441129818754351,0.0,0.0,0.0,0.0
1324,0.000879332083053428,0.002637996249160284,0.000879332083053428,0.026379962491602838,0.9892485934351065,0.0,0.002637996249160284,0.0,0.0,0.0
4484,0.0023330694192118095,0.018664555353694476,0.009332277676847238,0.0699920825763543,0.34996041288177143,0.0,0.016331485934482668,0.0,0.0,0.0
16253,0.0,0.0026121924832703297,0.0008707308277567766,0.0261219248327033,0.9795721812263737,0.00783657744981099,0.0017414616555135533,0.0008707308277567766,0.0,0.0
3270,0.004462089509830956,0.008924179019661912,0.004462089509830956,0.13386268529492867,0.4015880558847861,0.49529193559123613,0.303422086668505,0.0,0.0,0.0
10011,0.016026718359142617,0.016026718359142617,0.016026718359142617,0.4808015507742785,0.6410687343657047,0.0,0.0,0.0,0.016026718359142617,0.0
16739,0.017840540966294886,0.001699099139647132,0.000849549569823566,0.02548648709470698,0.9557432660515118,0.22343153686359787,0.0,0.000849549569823566,0.0,0.0
5912,0.0017752606039624255,0.0008876303019812128,0.0008876303019812128,0.026628909059436382,0.9985840897288644,0.0,0.0017752606039624255,0.0,0.0008876303019812128,0.0
10179,0.0025211787403678423,0.005042357480735685,0.0025211787403678423,0.0033615716538237896,0.8395525205424915,0.007563536221103527,0.0008403929134559474,0.0008403929134559474,0.0,0.0
6213,0.009846337282994203,0.009846337282994203,0.009846337282994203,0.29539011848982605,0.5907802369796521,0.0,0.019692674565988406,0.0,0.009846337282994203,0.0
11844,0.013336108262795207,0.004167533832123502,0.0016670135328494008,0.02500520299274101,0.9376951122277879,0.29172736824864515,0.002500520299274101,0.0008335067664247004,0.0,0.0
16104,0.8242148911467801,0.0019589183390297804,0.0009794591695148902,0.014691887542723353,0.5509457828521258,0.09157943234964223,0.0,0.0,0.0,0.0
14900,0.0,0.006793458868137833,0.0033967294340689165,0.1019018830220675,0.15285282453310126,0.6046178392642672,0.0,0.0,0.0,0.0
3434,0.0075313007235550365,0.006694489532048922,0.0025104335745183455,0.20083468596146764,0.9405757792528735,0.15062601447110074,0.03933012600078741,0.0,0.0,0.0
6719,0.021863471752401383,0.0008409027597077455,0.0008409027597077455,0.025227082791232366,0.9460156046712137,0.30692950729332713,0.008409027597077455,0.0,0.0,0.0008409027597077455
14396,0.00942364171099974,0.00942364171099974,0.001884728342199948,0.05654185026599844,0.687925844902981,0.6747327465075814,0.001884728342199948,0.0,0.001884728342199948,0.0
11168,0.013999096967912308,0.009332731311941539,0.0046663656559707695,0.13999096967912308,0.8399458180747384,0.30798013329407076,0.0046663656559707695,0.0,0.0046663656559707695,0.0
16370,0.0,0.005780264383977035,0.0021675991439913883,0.0021675991439913883,0.4064248394983853,0.13186228125947613,0.0,0.0,0.0,0.0
17401,0.0,0.0008400974829476966,0.0008400974829476966,0.0756087734652927,0.9451096683161587,0.3007548988952754,0.0,0.0,0.0008400974829476966,0.0
12232,0.002864907547125489,0.002864907547125489,0.0007162268867813722,0.021486806603441166,0.8057552476290437,0.12820461273386563,0.0021486806603441167,0.0,0.0,0.0
4113,0.0017081338731099731,0.0034162677462199463,0.0008540669365549866,0.025622008096649596,0.9599712366878049,0.2656148172686008,0.015373204857989759,0.0,0.0,0.0
9814,0.00893634167307369,0.00893634167307369,0.00893634167307369,0.13404512509610533,0.5361805003844213,0.14298146676917903,0.28149476270182117,0.0,0.0,0.0
